Air Quality,PM2.5,PM10,NO2,SO2,CO
0,7.1,9.6,24.7,2.6,1.11
2,3.9,13.9,21.9,6.4,1.72
0,5.8,11.8,20.5,4.0,0.98
0,55.9,57.8,20.9,6.9,0.93
2,65.9,69.0,30.2,11.2,1.6
3,7.1,27.9,35.5,8.9,2.21
1,23.1,34.7,37.4,24.3,2.3
3,5.8,14.5,38.2,8.4,1.66
0,2.4,8.1,26.0,7.9,1.09
2,19.9,34.2,19.9,8.4,1.43
2,89.6,98.3,24.6,10.8,1.14
0,3.5,7.3,12.3,4.8,1.15
2,10.5,24.0,35.2,15.4,1.35
0,7.1,10.7,26.5,4.1,0.94
0,11.4,16.8,26.7,9.1,0.83
3,28.0,36.5,30.3,19.0,1.99
2,22.0,25.8,17.9,9.3,1.97
2,2.6,15.4,23.5,10.7,1.31
3,74.2,91.6,40.3,15.0,1.83
2,0.3,9.8,23.0,10.2,1.73
0,10.3,14.0,17.9,5.5,0.87
3,1.5,12.4,31.9,18.9,2.2
2,15.3,28.4,20.2,10.4,1.45
3,6.0,21.3,21.1,20.9,2.44
2,4.6,20.9,26.2,11.3,1.49
2,18.4,33.4,37.2,12.4,1.3
3,2.6,13.3,35.0,16.2,2.31
0,27.1,34.1,23.4,3.1,0.98
0,15.0,19.3,18.2,1.6,1.0
2,66.3,75.5,25.3,13.4,1.29
1,41.6,62.9,33.0,20.0,2.09
0,7.8,10.7,19.7,7.6,1.14
0,0.3,4.3,17.0,6.9,0.93
2,20.9,25.4,35.1,4.5,1.75
3,108.6,124.5,38.5,11.8,2.22
2,49.0,56.7,17.7,21.3,1.59
1,17.7,29.3,38.1,21.8,2.31
0,4.4,10.8,26.0,3.2,1.0
0,4.1,8.8,17.5,2.8,1.14
2,23.2,33.9,17.2,9.9,1.29
2,15.2,32.4,25.4,8.8,1.47
0,6.7,11.7,15.6,3.7,1.29
0,12.1,16.0,14.8,5.5,1.01
2,28.8,40.1,23.1,0.8,1.54
2,7.8,13.0,31.6,12.5,1.85
3,27.8,41.2,41.6,12.9,1.74
2,34.7,53.1,22.8,7.8,1.27
0,7.0,10.9,25.6,7.9,0.86
1,14.7,32.7,52.0,0.0,2.59
2,73.4,84.9,29.4,7.4,1.34
2,9.7,20.5,29.3,6.5,1.29
2,4.7,20.1,28.6,8.9,1.74
0,0.4,7.5,13.9,8.1,0.95
1,3.1,21.2,43.4,16.0,2.02
2,30.9,47.8,27.8,11.3,1.63
3,10.8,34.5,25.7,11.4,2.08
0,11.2,12.1,28.3,4.1,1.01
3,25.8,34.1,29.3,16.5,1.55
3,5.3,18.6,36.3,7.7,1.83
2,13.5,19.5,17.1,10.8,1.55
0,5.4,10.0,18.3,3.4,0.98
1,45.2,63.7,34.2,26.8,2.53
0,14.5,21.4,13.4,3.7,1.08
2,11.5,8.6,21.7,15.8,1.27
0,3.8,6.4,26.3,8.3,1.17
2,10.0,17.4,25.4,5.2,1.51
3,12.7,25.8,23.3,16.6,2.15
0,5.5,12.4,22.0,3.4,1.06
3,77.8,86.9,37.9,15.7,1.93
2,4.0,6.4,32.9,9.4,1.57
3,8.9,17.1,30.1,5.3,1.72
0,12.5,16.9,14.7,3.5,0.92
0,12.3,15.3,20.3,5.3,0.99
0,15.9,19.6,21.0,5.3,1.16
0,3.7,11.2,21.3,7.9,1.02
2,88.5,93.5,16.5,4.9,1.7
0,12.3,19.1,27.3,4.9,0.86
0,21.8,28.8,18.9,2.7,0.96
2,23.3,31.1,37.9,9.4,1.57
2,41.2,58.0,26.4,22.2,1.54
3,1.0,18.5,32.4,9.8,1.95
2,12.0,15.1,26.6,9.9,1.47
2,12.3,13.9,20.6,15.5,1.21
0,2.5,10.1,23.2,5.0,0.79
3,18.1,42.9,36.4,24.7,1.95
0,9.8,13.2,23.1,4.2,0.98
0,0.9,3.5,12.6,6.1,1.01
2,14.7,27.1,27.9,11.5,1.56
0,6.0,9.6,19.3,1.1,0.93
2,39.6,52.6,28.7,15.8,1.33
3,49.0,62.9,26.9,12.1,2.2
2,0.6,13.3,25.9,20.0,1.59
0,1.6,5.5,13.8,4.2,0.98
3,31.6,45.9,32.9,13.6,2.15
2,37.6,41.9,18.9,13.9,1.68
0,8.0,13.4,13.3,4.6,0.93
0,9.3,13.3,18.8,4.0,0.89
2,9.2,18.9,35.2,9.7,1.49
0,1.2,8.0,18.5,5.3,1.09
0,13.3,19.6,16.0,5.1,1.01
2,4.0,11.0,32.9,10.9,1.25
0,7.1,12.7,27.8,3.4,0.92
0,28.9,39.2,18.7,5.9,0.95
3,37.2,41.0,35.3,11.8,2.33
2,16.4,21.2,21.0,8.7,1.27
2,45.6,49.2,31.7,11.6,1.44
0,7.0,11.0,26.8,7.0,1.18
2,7.9,20.8,27.7,12.6,1.68
0,10.0,12.5,20.9,5.7,1.0
0,2.2,5.5,11.3,0.8,1.12
2,45.9,56.0,27.0,6.7,1.4
3,12.9,33.1,38.9,8.3,1.86
2,2.1,10.2,26.3,8.3,1.59
3,18.4,34.9,32.7,13.9,2.54
2,17.3,27.3,27.2,0.0,1.45
0,5.2,8.9,19.0,3.0,1.01
0,3.5,7.1,23.9,7.2,0.97
0,2.0,12.5,19.2,5.7,1.12
2,25.8,32.4,30.8,13.7,1.69
0,3.1,8.1,12.2,3.2,1.06
2,0.1,10.9,32.6,10.4,1.38
0,3.6,6.6,19.7,1.3,1.07
3,6.7,30.2,36.4,25.8,2.49
3,1.3,20.9,46.3,21.0,1.82
1,79.8,104.0,51.0,17.9,2.62
2,7.3,19.7,30.0,16.8,1.38
1,36.4,55.4,42.4,16.8,2.38
0,10.4,16.2,25.7,2.2,0.85
2,15.7,33.5,19.9,11.7,1.79
2,7.2,19.3,20.7,1.9,1.46
1,22.5,33.9,32.1,22.0,2.82
0,6.8,9.7,24.7,7.3,1.06
0,16.2,21.2,19.2,0.1,1.0
3,25.0,38.3,25.9,12.0,1.72
2,6.4,13.6,25.8,10.8,1.54
2,111.0,117.2,28.8,6.9,1.43
2,0.4,10.8,32.6,8.2,1.35
2,6.5,22.9,24.8,9.0,1.54
0,4.9,10.6,17.9,1.4,0.92
0,1.9,9.7,26.4,7.4,1.02
2,31.9,39.6,21.3,15.8,1.72
3,6.8,15.7,31.5,12.7,2.43
0,22.8,25.4,14.3,5.7,1.07
3,36.2,54.1,32.3,19.0,2.8
2,0.7,13.0,27.3,9.4,1.65
0,3.9,7.9,23.5,6.2,0.99
2,7.5,10.3,28.1,4.6,1.49
3,70.4,97.4,39.2,20.8,1.83
3,28.2,36.7,41.2,16.3,1.85
2,18.3,31.4,30.6,17.0,1.42
2,16.6,27.3,34.8,15.0,1.75
0,9.8,16.3,25.6,7.1,0.89
3,70.7,74.9,30.8,18.3,2.3
2,13.5,25.9,23.7,18.5,0.94
3,116.1,127.6,30.0,10.2,2.26
0,52.1,56.7,28.9,0.6,0.99
2,22.8,38.3,27.4,4.9,1.42
3,0.2,23.6,17.8,6.6,1.71
3,40.7,55.0,18.8,3.3,1.76
0,5.7,7.5,19.7,5.0,1.15
1,24.8,46.3,29.1,13.2,1.89
0,17.0,19.9,15.9,7.0,1.04
0,0.0,5.3,26.2,2.6,1.13
2,57.9,68.6,22.9,15.7,1.32
2,7.7,15.5,25.6,21.4,1.46
0,4.1,11.6,14.5,5.4,1.17
3,18.5,32.1,23.0,21.3,1.84
3,0.2,8.8,31.9,18.5,2.12
2,36.0,45.5,21.3,12.7,1.66
2,0.4,12.9,33.2,4.5,1.63
0,30.3,31.5,22.5,4.4,1.05
3,1.7,15.7,33.5,7.2,2.33
0,0.5,5.4,20.9,-0.6,0.87
1,134.5,155.1,46.3,23.4,3.36
3,5.5,17.5,44.2,17.2,1.65
2,24.9,35.3,30.7,8.8,1.5
3,5.8,15.9,25.5,16.0,2.72
2,0.1,6.6,24.2,9.1,1.63
0,10.7,16.8,22.0,6.4,0.76
0,0.1,1.7,17.5,5.9,0.99
2,27.0,29.1,18.5,11.0,1.54
0,13.5,15.7,18.2,4.1,1.2
2,3.4,13.1,18.2,3.8,1.2
0,1.2,2.2,24.5,9.7,1.03
3,16.6,24.3,32.4,17.8,1.97
0,22.9,25.0,14.4,5.0,0.78
0,13.1,17.7,15.6,4.9,0.99
1,10.0,32.7,39.7,12.4,2.24
3,43.9,52.4,39.8,8.6,1.55
3,17.3,28.0,46.5,14.6,2.26
2,40.2,47.5,20.3,14.7,1.76
2,2.3,11.2,22.4,7.6,1.22
3,13.5,26.8,37.5,16.2,2.38
1,8.9,33.5,36.5,19.2,2.4
0,2.6,5.1,18.7,6.8,1.12
2,13.9,22.7,26.6,12.8,1.29
1,43.1,63.3,53.7,15.2,1.94
0,4.7,7.3,26.3,7.5,0.98
0,21.3,25.9,14.1,7.1,0.91
0,23.6,28.9,19.0,4.6,1.02
0,14.0,18.7,17.6,7.7,1.04
1,12.6,26.2,41.2,34.1,3.04
0,21.5,25.1,12.2,7.0,1.13
3,66.1,93.4,40.0,16.4,1.29
0,2.8,7.6,18.2,4.8,1.08
0,5.2,9.6,24.4,8.8,0.98
0,1.1,5.4,17.9,5.0,1.15
3,7.3,17.9,33.2,17.0,1.9
2,43.5,48.7,22.7,7.7,1.61
0,2.4,7.0,18.6,6.1,1.12
3,82.4,94.3,37.9,13.1,2.42
0,27.5,33.5,26.0,4.3,1.03
0,8.6,14.6,14.7,4.6,0.99
0,21.7,29.9,13.6,6.3,0.85
2,28.6,47.1,23.1,6.4,1.46
0,4.7,10.9,19.3,3.2,1.18
2,22.9,36.8,38.3,9.5,1.59
2,4.7,11.3,30.3,13.9,1.33
0,4.8,12.8,17.7,2.0,0.87
3,14.1,25.0,28.4,4.2,2.3
1,9.1,30.9,40.2,21.0,2.33
2,21.4,33.0,22.2,9.2,1.14
0,3.5,9.4,14.6,4.3,0.85
3,7.6,17.9,23.6,26.6,2.18
0,7.2,11.4,12.4,6.2,1.01
2,6.0,15.4,22.0,11.4,1.29
0,15.7,18.4,15.3,8.1,0.94
1,29.2,42.2,54.4,23.6,3.37
2,7.1,15.6,22.7,1.6,1.44
2,17.2,35.2,20.7,4.5,1.7
3,65.6,82.8,33.8,18.3,1.59
0,0.5,1.5,25.0,3.4,0.88
1,16.1,35.6,31.7,20.7,2.73
1,4.7,14.1,47.6,21.0,2.01
2,12.2,22.2,26.8,10.0,1.49
0,0.8,4.2,19.4,7.1,1.11
3,96.4,115.5,45.6,10.1,2.29
3,58.5,75.7,39.1,13.1,1.96
2,11.4,18.5,18.3,8.4,1.74
3,49.9,50.3,19.0,15.4,1.94
0,7.9,8.1,24.2,7.2,1.13
0,6.9,12.0,11.8,3.5,1.0
0,24.7,29.9,17.1,4.7,1.1
0,12.4,16.2,13.7,6.9,0.73
3,64.0,84.5,47.3,12.1,1.69
3,11.2,32.1,36.6,17.0,1.91
3,11.9,33.1,34.5,14.6,2.14
3,53.2,65.6,34.6,19.9,1.91
2,5.1,16.2,27.0,7.0,1.93
1,95.7,115.6,42.7,18.7,2.59
3,58.3,78.3,42.9,4.8,1.43
2,13.2,20.0,27.7,13.3,1.58
0,5.5,13.2,20.6,2.4,1.17
2,22.3,35.3,20.3,10.0,1.53
0,8.8,13.6,20.1,6.0,0.97
2,15.1,24.5,29.0,12.8,1.54
3,13.9,30.0,37.6,12.1,2.0
0,13.7,21.5,19.6,2.3,1.02
0,7.2,11.9,19.0,5.5,1.01
3,13.5,27.2,38.4,9.6,2.23
2,4.3,6.5,28.1,9.4,1.5
2,4.7,13.0,21.9,10.1,1.48
0,4.4,9.0,10.4,5.6,0.8
0,27.2,33.0,22.2,4.9,0.9
1,51.2,69.4,48.2,17.7,2.37
1,5.4,46.1,41.7,6.3,2.35
0,26.6,30.2,13.4,5.6,1.09
0,3.6,11.2,15.0,7.4,0.75
2,0.6,14.2,32.5,17.5,1.59
0,0.8,6.8,27.7,4.6,0.99
0,22.0,25.6,13.0,6.4,1.05
2,34.4,40.7,35.8,6.2,1.42
3,39.9,54.2,37.5,19.8,2.2
3,8.3,19.2,36.2,18.8,2.25
2,33.9,41.7,37.4,14.5,1.17
3,18.1,32.1,31.7,15.3,1.86
2,6.3,9.3,23.5,14.3,1.88
3,12.2,34.2,38.7,13.5,1.88
0,0.4,6.2,27.0,9.3,1.12
0,1.0,4.7,26.0,3.5,1.02
0,15.7,21.6,24.4,3.9,1.01
3,71.2,87.5,30.3,15.8,2.31
3,22.5,35.0,38.0,26.9,2.31
3,70.0,88.9,41.7,23.3,2.42
2,0.0,13.9,27.2,5.3,1.0
1,45.2,60.0,28.5,15.7,2.43
2,0.9,8.2,25.2,11.4,1.46
0,13.7,20.4,15.7,7.6,1.04
2,43.3,51.1,31.9,10.6,1.23
3,75.6,90.4,33.6,17.9,1.98
2,67.2,77.4,32.7,6.2,1.24
2,14.6,26.3,22.2,10.6,1.8
2,28.0,40.2,23.5,8.7,1.41
0,8.8,11.5,14.1,5.1,0.89
2,8.4,16.1,32.7,9.3,1.48
0,16.9,22.9,13.2,6.9,1.09
3,16.6,30.3,19.3,13.6,1.68
2,8.7,14.7,31.6,11.9,1.53
0,13.4,17.3,19.1,1.1,1.07
2,40.7,57.5,32.1,7.0,1.79
0,31.4,33.8,15.1,5.8,1.02
0,17.3,22.4,13.0,5.6,1.21
0,2.9,8.8,24.4,0.6,1.04
2,9.5,14.9,21.7,7.3,1.64
0,6.0,15.4,20.2,5.5,1.03
0,1.6,4.8,21.1,4.6,1.1
2,5.8,15.1,28.0,8.8,1.43
0,0.9,5.7,20.3,6.6,0.93
0,20.8,25.6,15.7,4.4,0.75
3,1.3,9.0,23.8,0.8,2.54
3,19.4,30.7,35.4,24.7,1.74
1,24.0,42.3,37.5,29.3,2.35
2,15.7,25.3,28.0,13.2,1.59
2,1.6,10.7,16.9,3.1,1.37
0,0.1,3.9,22.8,4.9,1.02
0,3.6,9.0,24.4,3.8,0.9
0,15.6,18.6,24.2,4.7,1.04
0,21.6,25.2,21.5,3.4,1.02
0,26.6,34.2,24.8,3.2,1.06
0,12.2,17.2,14.1,7.2,0.93
0,6.7,13.5,21.4,4.9,1.11
0,0.1,8.7,10.4,4.0,1.04
0,11.8,15.9,25.7,9.0,1.06
2,49.8,61.3,32.5,6.3,1.72
0,10.2,14.0,23.1,7.1,1.01
3,11.4,23.3,31.2,11.5,1.98
3,47.0,59.9,24.4,15.6,2.15
1,18.8,45.3,45.3,17.9,2.73
2,5.4,13.6,30.6,12.1,1.88
0,2.2,6.4,12.2,5.0,1.19
3,17.6,41.6,32.9,11.4,2.78
2,7.3,17.0,24.4,2.9,1.59
0,22.4,27.5,19.4,3.1,1.18
0,2.3,10.6,13.7,6.3,1.13
3,26.8,46.5,40.0,9.3,2.4
1,11.2,29.4,44.6,19.3,3.65
2,12.3,22.0,27.1,12.2,1.54
0,2.5,9.5,12.5,7.0,1.04
2,60.0,76.1,24.2,5.8,1.05
3,23.7,34.7,37.7,6.8,1.42
2,16.6,21.3,25.8,6.4,1.72
2,0.5,11.4,26.4,20.0,1.71
2,91.5,98.9,22.1,9.6,1.52
3,35.0,50.7,46.0,19.4,1.66
1,49.8,70.3,35.2,15.4,2.85
3,30.0,52.7,35.7,14.9,2.46
3,56.8,70.2,34.4,10.3,1.75
3,28.0,37.4,33.2,13.6,1.93
1,109.2,116.8,43.5,21.2,2.07
2,8.3,19.9,21.0,7.9,1.44
1,60.3,78.5,45.4,25.0,3.01
2,11.2,30.1,25.8,10.6,1.23
0,5.7,12.5,16.8,6.1,1.01
0,6.9,10.9,21.2,3.7,1.0
0,3.8,10.1,25.1,4.7,1.01
0,0.8,7.4,26.3,1.8,1.07
2,16.2,21.1,18.9,12.4,1.44
3,47.2,61.0,21.7,13.8,2.24
1,42.3,58.5,32.1,28.4,2.4
2,2.5,8.7,27.7,10.5,1.4
0,31.4,34.6,21.3,3.9,0.97
1,51.2,79.2,35.4,23.3,2.16
0,4.6,10.6,20.9,5.7,1.11
0,14.1,16.5,26.0,7.4,0.97
2,12.9,21.1,16.4,15.8,1.81
2,42.8,51.4,14.1,13.3,1.55
0,3.6,5.6,16.7,7.6,0.86
2,4.3,15.6,21.9,16.4,1.45
0,33.2,36.9,23.6,2.7,0.82
0,5.0,8.8,17.3,6.3,1.12
1,36.1,49.5,42.2,17.1,2.39
2,18.1,26.7,20.4,14.7,1.53
0,14.7,20.4,13.2,5.7,0.82
0,7.8,11.4,22.0,5.9,0.92
2,1.8,11.9,20.6,14.6,1.63
2,1.2,13.0,35.9,2.6,1.42
0,1.2,7.7,12.2,5.6,1.18
0,1.3,0.2,27.6,6.4,0.97
0,16.6,20.7,26.5,3.9,0.94
1,34.2,62.4,43.8,17.8,2.62
0,0.2,4.9,19.0,4.5,1.04
1,142.3,157.1,36.3,20.8,1.82
0,7.7,10.2,26.2,4.2,0.85
0,5.0,13.2,20.3,5.8,1.1
0,8.0,13.0,21.7,3.4,0.86
0,9.7,14.5,15.5,7.2,1.05
2,19.3,31.5,24.6,7.2,1.74
1,21.4,32.8,50.8,16.6,2.11
2,5.5,17.5,29.1,12.2,1.5
0,1.0,8.1,12.2,6.5,1.03
0,2.0,6.0,25.1,4.7,0.95
3,12.9,39.3,34.8,14.1,2.42
0,4.0,7.5,19.4,-0.3,1.15
2,23.8,29.2,35.6,7.4,1.48
3,3.4,23.9,25.4,22.6,2.27
2,45.5,49.8,27.7,13.9,1.25
2,11.7,28.0,24.5,13.2,1.51
2,21.5,31.9,21.2,9.0,1.48
2,17.5,22.8,26.3,9.9,1.61
2,27.0,34.6,33.4,14.0,1.65
2,7.2,14.9,29.3,11.9,1.37
0,4.7,14.1,18.0,1.7,0.94
0,15.2,20.3,15.8,3.7,0.96
0,6.5,15.7,21.8,7.8,1.03
2,22.6,38.3,33.3,14.4,1.48
0,3.1,8.6,14.6,5.2,0.86
0,24.3,32.1,23.8,4.8,0.98
0,0.0,3.1,20.0,3.0,0.92
0,16.5,22.3,24.1,1.9,0.94
2,47.0,59.3,22.4,3.1,1.51
2,1.5,6.7,28.9,10.9,0.94
2,18.7,27.4,32.1,10.8,1.52
0,3.6,12.7,17.0,6.8,1.01
2,29.1,38.7,28.8,4.7,1.32
2,43.9,53.5,21.1,9.0,1.47
3,75.8,92.0,36.3,17.4,1.76
0,0.7,4.7,16.4,4.7,1.1
1,1.5,27.0,34.4,20.2,2.45
0,2.3,8.1,26.0,0.2,1.12
0,13.3,15.0,16.8,8.2,1.11
3,106.5,127.3,34.7,11.8,2.29
0,6.0,8.9,24.2,9.8,1.06
1,7.9,26.1,41.6,26.1,2.31
2,57.1,72.3,33.7,9.6,1.86
3,7.6,16.7,35.6,9.9,1.7
3,37.1,47.4,28.7,9.1,2.04
3,1.6,25.2,34.3,12.0,2.59
2,18.3,23.6,30.5,13.7,1.49
2,36.7,44.4,21.0,9.7,1.23
2,8.4,20.7,32.8,11.8,1.21
2,19.6,29.0,22.2,12.7,1.4
0,4.9,9.9,17.7,4.4,1.01
0,8.9,16.2,26.2,4.2,0.97
0,31.1,34.2,16.4,-0.2,0.99
0,14.0,20.2,23.3,6.6,1.01
0,16.2,19.4,18.5,9.0,1.08
2,105.9,105.0,22.4,4.8,1.16
0,4.1,7.4,23.7,4.0,0.91
2,55.7,62.7,24.1,11.5,1.46
2,4.2,16.3,18.9,11.7,1.45
0,0.2,7.6,15.6,4.4,0.93
0,3.8,6.4,14.0,3.3,1.09
0,1.5,7.6,19.7,4.3,0.95
0,7.0,11.8,24.5,8.9,0.93
3,31.8,44.5,32.4,26.0,1.98
2,3.3,15.6,28.8,6.5,1.49
2,17.0,33.1,25.1,10.6,1.39
2,32.5,47.0,22.1,12.7,1.66
2,40.1,47.1,34.6,1.0,1.72
3,34.9,56.8,36.1,3.1,2.02
2,50.5,66.6,31.5,9.2,1.26
3,5.3,14.1,33.0,16.5,1.9
3,58.7,71.9,42.1,12.1,2.37
0,2.0,6.3,20.3,8.2,1.04
3,19.7,36.6,39.2,15.9,1.72
2,7.5,19.0,25.7,3.4,1.57
1,10.3,32.4,40.3,12.9,1.36
2,2.5,9.1,24.5,17.5,1.38
0,0.6,5.5,13.4,7.0,1.01
3,3.7,27.7,32.2,3.9,1.91
2,6.3,12.2,30.8,17.6,1.44
0,3.4,8.2,17.6,3.5,1.12
3,123.7,128.1,28.7,2.4,1.89
2,7.2,22.6,35.5,12.0,1.42
0,11.8,16.3,13.0,6.3,0.85
2,17.2,29.7,23.9,17.0,1.25
3,2.6,14.8,38.6,17.7,2.07
0,8.2,9.5,22.3,3.5,0.82
3,22.3,44.2,34.1,17.5,2.33
1,14.6,38.1,39.7,17.3,2.17
1,37.2,54.7,50.8,21.8,2.58
3,61.2,82.7,39.5,7.5,1.97
3,26.2,38.9,45.4,19.1,2.18
2,6.9,22.6,22.8,16.2,1.48
2,10.9,25.7,29.3,8.9,1.58
0,3.4,12.5,17.9,6.7,1.05
0,9.7,15.9,23.0,6.5,0.99
1,78.9,98.3,40.6,23.9,2.44
2,9.2,18.2,25.8,5.2,1.42
0,4.2,11.1,14.8,2.4,1.06
3,4.1,17.7,44.3,4.1,1.48
1,54.7,69.9,56.1,26.6,2.5
0,0.2,7.4,26.9,3.4,0.9
3,100.0,117.5,32.4,7.0,2.4
3,17.7,23.4,22.1,9.6,2.49
0,22.6,31.1,24.7,3.7,1.05
0,5.0,10.6,17.6,2.5,0.94
0,14.5,19.8,14.0,2.9,1.07
2,12.9,21.4,24.7,12.6,1.39
0,0.4,5.4,20.9,3.1,1.12
2,29.4,43.3,29.6,15.4,1.44
2,10.2,19.0,23.8,-0.3,1.7
1,77.1,94.8,34.2,21.5,2.42
0,0.0,1.9,15.7,3.7,0.9
2,7.6,13.1,26.7,5.6,1.44
1,42.7,57.5,47.9,14.3,2.66
3,58.2,83.7,40.2,13.8,2.09
3,23.2,38.6,35.4,22.9,1.82
0,11.1,14.9,14.8,3.2,1.11
1,31.2,48.3,34.3,11.5,3.32
2,1.0,13.5,34.3,9.7,1.84
0,30.6,34.2,22.6,6.0,1.11
2,23.0,36.0,23.4,12.5,1.39
3,1.8,20.4,45.2,14.6,1.45
2,14.9,33.8,24.3,8.7,1.53
2,39.0,46.5,27.4,8.6,1.59
3,12.4,27.7,25.4,11.0,1.87
0,27.9,33.6,12.7,5.5,1.08
2,57.2,74.9,20.9,7.1,1.63
0,12.0,15.2,17.2,5.6,1.2
3,14.0,32.1,28.3,3.0,1.98
0,11.6,16.2,15.3,2.1,1.04
3,1.5,15.1,32.6,29.2,1.87
0,9.9,14.2,14.6,4.9,0.97
3,7.4,27.5,33.8,22.6,1.91
0,5.9,9.5,25.2,5.7,0.89
2,12.2,21.4,17.4,13.6,1.29
3,35.2,49.4,41.1,21.2,1.84
3,20.8,37.1,29.5,10.8,1.66
0,11.1,17.2,24.2,2.6,1.08
0,0.6,2.6,29.2,4.8,0.99
0,19.2,25.4,16.8,5.2,1.12
3,26.9,56.7,38.4,13.0,2.25
2,36.7,44.8,31.4,6.5,1.56
3,5.4,24.6,36.4,15.3,1.85
0,7.3,9.7,24.1,2.2,1.13
3,42.7,54.8,25.3,21.7,2.48
2,2.3,11.6,21.1,9.0,1.41
3,2.2,7.8,39.2,17.0,2.0
2,0.7,12.2,25.3,5.3,1.57
2,18.7,30.0,31.6,12.3,1.45
2,13.9,18.5,22.2,6.4,1.41
0,14.4,18.5,16.5,4.3,1.1
2,33.6,38.6,30.8,14.2,1.72
1,12.2,35.7,45.4,22.7,2.27
1,5.6,21.0,49.8,34.5,3.0
0,11.7,13.8,15.4,3.4,0.93
0,1.7,5.9,25.3,4.9,1.01
2,16.6,24.4,23.3,9.5,1.53
1,4.9,20.7,45.0,23.5,2.29
1,49.8,65.9,42.7,17.2,2.02
3,27.0,47.6,22.4,27.2,2.57
2,2.5,12.8,32.3,4.3,1.39
1,31.2,62.0,32.2,16.1,2.7
3,30.3,39.1,40.4,21.2,1.99
0,0.6,2.3,14.0,4.2,0.87
0,0.8,8.4,14.3,4.1,0.86
0,3.6,9.1,25.2,6.7,0.97
0,3.4,7.9,23.3,5.0,0.83
0,23.5,28.9,12.5,5.9,1.19
3,56.5,74.2,29.9,11.8,2.14
1,12.6,30.7,52.7,17.5,2.02
3,9.6,23.9,31.2,16.2,2.22
2,22.2,30.0,23.0,10.2,1.47
0,3.0,6.7,22.7,3.3,1.0
3,4.6,14.5,32.4,22.2,2.1
0,8.6,11.2,17.2,6.7,1.02
1,2.4,24.9,38.2,16.9,2.84
0,18.0,25.6,22.8,5.9,1.12
0,5.9,10.7,19.7,8.0,1.01
3,2.8,12.5,28.9,2.8,2.05
3,34.6,49.5,25.8,22.5,1.48
2,26.3,36.6,17.7,9.4,1.45
2,3.9,13.9,36.8,10.3,1.7
3,0.7,5.8,43.0,21.2,1.87
2,28.6,39.4,24.6,12.2,1.3
2,6.1,17.1,19.2,11.9,1.61
0,3.2,7.3,12.9,5.9,1.03
0,5.3,11.4,16.8,3.4,0.9
3,4.6,19.1,33.3,5.9,2.11
0,2.3,5.6,22.3,7.1,0.87
0,8.6,12.0,10.7,3.3,0.97
3,80.5,107.9,32.5,24.6,2.37
0,12.1,19.5,18.0,6.1,0.89
2,1.5,14.1,24.3,12.5,1.89
0,6.7,13.1,21.8,4.0,0.97
2,10.3,19.4,22.7,10.5,1.19
3,78.9,94.5,23.9,23.0,2.03
2,38.8,40.0,30.6,9.3,1.55
3,4.9,23.6,34.4,18.1,1.76
3,7.1,19.5,23.3,11.6,1.71
2,0.4,9.3,35.2,7.3,1.43
1,72.3,84.6,45.0,6.4,1.95
2,18.0,29.1,26.1,9.8,1.71
0,13.9,16.1,21.2,6.5,1.02
0,2.5,7.3,15.1,3.8,1.12
2,142.3,157.0,30.5,6.5,1.18
3,26.5,48.9,44.0,14.6,1.83
2,9.9,20.0,25.2,14.1,1.75
3,2.2,11.7,21.1,17.9,2.55
2,12.0,23.4,26.2,9.3,1.52
0,1.3,4.7,22.7,3.7,0.95
2,28.1,41.1,15.6,12.1,1.44
2,22.1,30.3,28.0,0.6,1.48
0,4.6,7.9,15.4,7.1,0.95
2,17.5,32.8,21.1,12.3,1.51
1,13.4,26.4,37.8,28.8,2.71
1,3.4,30.6,42.3,2.8,2.04
3,58.2,80.2,34.7,9.1,1.88
2,2.8,10.9,17.2,8.8,1.56
1,22.7,53.0,37.1,25.3,2.58
0,0.9,10.3,23.4,9.1,0.83
2,12.8,29.8,33.2,13.3,1.1
0,0.4,5.7,25.3,6.2,1.05
3,0.9,21.6,34.8,12.9,2.0
2,20.5,33.4,28.2,5.4,1.44
0,1.0,5.7,26.8,3.5,0.91
2,7.1,16.5,19.6,7.8,1.77
2,10.0,18.8,24.0,13.6,1.5
3,43.4,59.5,35.1,22.1,1.97
0,4.7,8.7,25.3,5.9,1.0
0,5.4,7.5,25.0,0.7,1.09
0,5.8,14.1,24.6,3.5,0.97
2,59.7,69.2,29.5,8.2,1.07
1,35.2,58.0,38.3,29.6,2.8
1,70.6,88.5,45.0,30.2,2.93
3,21.9,45.6,37.1,20.9,1.72
3,3.8,19.9,32.9,17.8,2.09
3,9.9,20.0,36.3,22.5,1.74
2,27.7,36.5,35.3,6.5,1.95
0,4.4,10.1,25.7,4.5,1.29
3,55.5,79.2,35.2,18.6,2.06
0,7.7,11.1,22.8,4.7,1.1
2,41.8,51.2,22.5,5.8,1.57
0,7.5,11.9,23.1,3.1,0.9
0,58.4,68.2,26.5,3.7,0.93
2,53.4,69.0,17.6,15.2,1.82
0,0.7,5.3,10.7,7.1,1.05
2,53.5,63.4,26.5,10.0,1.32
3,6.4,21.2,43.5,14.5,1.79
1,48.9,65.1,41.1,14.4,2.79
3,9.7,21.2,34.1,5.4,2.33
0,1.1,8.7,15.2,7.0,1.03
0,14.8,18.8,19.7,7.3,1.05
